id,nama,email,no_hp,tanggal_daftar,status
82,Customer Name 82,user82@gmail.com,08123456082,30-05-26,aktive
83,Customer Name 83,user83@gmail.com,08123456083,26-05-26,aktive
84,Customer Name 84,user84@gmail.com,08123456084,13-05-26,active
85,Customer Name 85,user85@gmail.com,08123456085,29-05-26,Active
86,Customer Name 86,user86@gmail.com,08123456086,2026-05-18,Active
87,Customer Name 87,user87@gmail.com,08123456087,18/05/2026,Active
88,Customer Name 88,user88@gmail.com,08123456088,20/05/2026,banned
89,Customer Name 89,user89@gmail.com,08123456089,18-05-26,INACTIVE
90,customer name 90,user90@gmail.com,08123456090,18-05-26,active 
91,Customer Name 91,user91@gmail.com,08123456091,17/05/2026,active
92,Customer Name 92,user92@gmail.com,08123456092,21-05-26,active 
93,Customer Name 93,user93@gmail.com,08123456093,31-05-26,aktive
94,Customer Name 94,user94@gmail.com,08123456094,29-05-26,Active
95,Customer Name 95,user95@gmail.com,08123456095,20-05-26,aktive
96,Customer Name 96,user96@gmail.com,08123456096,08/06/2026,banned
97,Customer Name 97,user97@gmail.com,08123456097,09/06/2026,active
98,Customer Name 98,user98@gmail.com,08123456098,2026-06-04,active
99,Customer Name 99,user99@gmail.com,08123456099,23-05-26,aktive
100,customer name 100,user99@gmail.com,08123456100,04-06-26,Active
101,Customer Name 101,user101@gmail.com,08123456101,01-06-26,Active
102,Customer Name 102,user102@gmail.com,08123456102,29/05/2026,active 
103,Customer Name 103,user103@gmail.com,08123456103,30/05/2026,aktive
104,Customer Name 104,user104@gmail.com,08123456104,2026-05-11,aktive
105,Customer Name 105,user105@gmail.com,08123456105,01/06/2026,active
106,Customer Name 106,user106@gmail.com,08123456106,03-06-26,active 
107,Customer Name 107,user107@gmail.com,08123456107,20/05/2026,aktive
108,Customer Name 108,user108@gmail.com,08123456108,10-05-26,aktive
109,Customer Name 109,user109@gmail.com,08123456109,2026-05-23,banned
110,customer name 110,user110@gmail.com,08123456110,11-05-26,Active
111,Customer Name 111,user111@gmail.com,08123456111,19/05/2026,aktive
112,Customer Name 112,user112@gmail.com,08123456112,03/06/2026,banned
113,Customer Name 113,user113@gmail.com,08123456113,04/06/2026,active 
114,Customer Name 114,user114@gmail.com,08123456114,27/05/2026,aktive
115,Customer Name 115,user115@gmail.com,08123456115,19/05/2026,active
116,Customer Name 116,user116@gmail.com,08123456116,2026-05-10,INACTIVE
117,Customer Name 117,user117@gmail.com,08123456117,2026-06-03,aktive
118,Customer Name 118,user118@gmail.com,08123456118,13-05-26,active
119,Customer Name 119,user119@gmail.com,08123456119,2026-06-08,Active
120,customer name 120,user120@gmail.com,08123456120,04-06-26,Active
121,Customer Name 121,user121@gmail.com,08123456121,12-05-26,active
122,Customer Name 122,user122@gmail.com,08123456122,2026-05-21,banned
123,Customer Name 123,user123@gmail.com,08123456123,2026-05-22,aktive
124,Customer Name 124,user124@gmail.com,08123456124,2026-05-28,banned
125,Customer Name 125,user125@gmail.com,08123456125,10/05/2026,active
126,Customer Name 126,user126@gmail.com,08123456126,28/05/2026,banned
127,Customer Name 127,user127@gmail.com,08123456127,18/05/2026,active
128,Customer Name 128,user128@gmail.com,08123456128,29-05-26,active
129,Customer Name 129,user129@gmail.com,08123456129,05-06-26,active
130,customer name 130,user130@gmail.com,08123456130,09-06-26,aktive
131,Customer Name 131,user131@gmail.com,08123456131,07/06/2026,aktive
132,Customer Name 132,user132@gmail.com,08123456132,03-06-26,aktive
133,Customer Name 133,user133@gmail.com,08123456133,07-06-26,active
134,Customer Name 134,user134@gmail.com,08123456134,2026-05-26,active
135,Customer Name 135,user135@gmail.com,08123456135,31-05-26,aktive
136,Customer Name 136,user136@gmail.com,08123456136,2026-06-08,banned
137,Customer Name 137,user137@gmail.com,08123456137,2026-06-08,banned
138,Customer Name 138,user138@gmail.com,08123456138,05/06/2026,banned
139,Customer Name 139,user139@gmail.com,08123456139,18/05/2026,active
140,customer name 140,user140@gmail.com,08123456140,15-05-26,INACTIVE
141,Customer Name 141,user141@gmail.com,08123456141,18-05-26,INACTIVE
142,Customer Name 142,user142@gmail.com,08123456142,2026-05-31,active
143,Customer Name 143,user143@gmail.com,08123456143,12/05/2026,active 
144,Customer Name 144,user144@gmail.com,08123456144,2026-05-15,INACTIVE
145,Customer Name 145,user145@gmail.com,08123456145,21/05/2026,banned
146,Customer Name 146,user146@gmail.com,08123456146,2026-05-29,active
147,Customer Name 147,user147@gmail.com,08123456147,04-06-26,aktive
148,Customer Name 148,user148@gmail.com,08123456148,27-05-26,aktive
149,Customer Name 149,user149@gmail.com,08123456149,03-06-26,INACTIVE
150,customer name 150,user149@gmail.com,08123456150,23/05/2026,Active
151,Customer Name 151,user151@gmail.com,08123456151,08/06/2026,banned
152,Customer Name 152,user152@gmail.com,08123456152,23-05-26,INACTIVE
153,Customer Name 153,user153@gmail.com,08123456153,26-05-26,active 
154,Customer Name 154,user154@gmail.com,08123456154,15/05/2026,banned
155,Customer Name 155,user155@gmail.com,08123456155,30/05/2026,banned
156,Customer Name 156,user156@gmail.com,08123456156,29/05/2026,Active
157,Customer Name 157,user157@gmail.com,08123456157,18/05/2026,INACTIVE
158,Customer Name 158,user158@gmail.com,08123456158,26-05-26,Active
159,Customer Name 159,user159@gmail.com,08123456159,2026-05-15,aktive
160,customer name 160,user160@gmail.com,08123456160,17/05/2026,aktive
161,Customer Name 161,user161@gmail.com,08123456161,13-05-26,aktive
162,Customer Name 162,user162@gmail.com,08123456162,03-06-26,active 
163,Customer Name 163,user163@gmail.com,08123456163,24/05/2026,aktive
164,Customer Name 164,user164@gmail.com,08123456164,2026-05-26,Active
165,Customer Name 165,user165@gmail.com,08123456165,15/05/2026,banned
166,Customer Name 166,user166@gmail.com,08123456166,27/05/2026,active 
167,Customer Name 167,user167@gmail.com,08123456167,2026-05-19,aktive
168,Customer Name 168,user168@gmail.com,08123456168,2026-05-21,active
169,Customer Name 169,user169@gmail.com,08123456169,2026-05-14,Active
170,customer name 170,user170@gmail.com,08123456170,2026-06-09,INACTIVE
171,Customer Name 171,user171@gmail.com,08123456171,14-05-26,banned
172,Customer Name 172,user172@gmail.com,08123456172,09-06-26,active
173,Customer Name 173,user173@gmail.com,08123456173,27/05/2026,active 
174,Customer Name 174,user174@gmail.com,08123456174,17/05/2026,active 
175,Customer Name 175,user175@gmail.com,08123456175,22/05/2026,banned
176,Customer Name 176,user176@gmail.com,08123456176,28/05/2026,aktive
177,Customer Name 177,user177@gmail.com,08123456177,10-05-26,INACTIVE
178,Customer Name 178,user178@gmail.com,08123456178,2026-06-09,Active
179,Customer Name 179,user179@gmail.com,08123456179,11/05/2026,banned
180,customer name 180,user180@gmail.com,08123456180,12-05-26,banned
181,Customer Name 181,user181@gmail.com,08123456181,2026-05-19,aktive
182,Customer Name 182,user182@gmail.com,08123456182,17/05/2026,active 
183,Customer Name 183,user183@gmail.com,08123456183,2026-05-19,aktive
184,Customer Name 184,user184@gmail.com,08123456184,11/05/2026,Active
185,Customer Name 185,user185@gmail.com,08123456185,02-06-26,Active
186,Customer Name 186,user186@gmail.com,08123456186,2026-06-07,banned
187,Customer Name 187,user187@gmail.com,08123456187,2026-06-04,banned
188,Customer Name 188,user188@gmail.com,08123456188,2026-05-31,active 
189,Customer Name 189,user189@gmail.com,08123456189,06/06/2026,INACTIVE
190,customer name 190,user190@gmail.com,08123456190,12-05-26,banned
191,Customer Name 191,user191@gmail.com,08123456191,05/06/2026,banned
192,Customer Name 192,user192@gmail.com,08123456192,19/05/2026,banned
193,Customer Name 193,user193@gmail.com,08123456193,07-06-26,INACTIVE
194,Customer Name 194,user194@gmail.com,08123456194,2026-05-16,INACTIVE
195,Customer Name 195,user195@gmail.com,08123456195,11/05/2026,banned
196,Customer Name 196,user196@gmail.com,08123456196,2026-05-30,active
197,Customer Name 197,user197@gmail.com,08123456197,05/06/2026,Active
198,Customer Name 198,user198@gmail.com,08123456198,2026-05-20,INACTIVE
199,Customer Name 199,user199@gmail.com,08123456199,2026-05-16,active 
200,customer name 200,user199@gmail.com,08123456200,25/05/2026,INACTIVE
201,Customer Name 201,user201@gmail.com,08123456201,21-05-26,Active
202,Customer Name 202,user202@gmail.com,08123456202,14-05-26,active 
203,Customer Name 203,user203@gmail.com,08123456203,22/05/2026,Active
204,Customer Name 204,user204@gmail.com,08123456204,19-05-26,active 
205,Customer Name 205,user205@gmail.com,08123456205,2026-06-08,active 
206,Customer Name 206,user206@gmail.com,08123456206,29/05/2026,active 
207,Customer Name 207,user207@gmail.com,08123456207,2026-05-31,banned
208,Customer Name 208,user208@gmail.com,08123456208,2026-06-04,active
209,Customer Name 209,user209@gmail.com,08123456209,31/05/2026,active 
210,customer name 210,user210@gmail.com,08123456210,11/05/2026,active
211,Customer Name 211,user211@gmail.com,08123456211,2026-05-21,Active
212,Customer Name 212,user212@gmail.com,08123456212,2026-05-22,banned
213,Customer Name 213,user213@gmail.com,08123456213,2026-05-21,Active
214,Customer Name 214,user214@gmail.com,08123456214,06-06-26,INACTIVE
215,Customer Name 215,user215@gmail.com,08123456215,2026-05-30,INACTIVE
216,Customer Name 216,user216@gmail.com,08123456216,2026-06-08,banned
217,Customer Name 217,user217@gmail.com,08123456217,2026-05-14,Active
218,Customer Name 218,user218@gmail.com,08123456218,2026-06-08,active 
219,Customer Name 219,user219@gmail.com,08123456219,23/05/2026,aktive
220,customer name 220,user220@gmail.com,08123456220,27/05/2026,INACTIVE
221,Customer Name 221,user221@gmail.com,08123456221,19-05-26,active 
222,Customer Name 222,user222@gmail.com,08123456222,24-05-26,Active
223,Customer Name 223,user223@gmail.com,08123456223,14/05/2026,INACTIVE
224,Customer Name 224,user224@gmail.com,08123456224,2026-06-04,aktive
225,Customer Name 225,user225@gmail.com,08123456225,05-06-26,aktive
226,Customer Name 226,user226@gmail.com,08123456226,2026-05-26,INACTIVE
227,Customer Name 227,user227@gmail.com,08123456227,2026-05-13,Active
228,Customer Name 228,user228@gmail.com,08123456228,18/05/2026,banned
229,Customer Name 229,user229@gmail.com,08123456229,25-05-26,banned
230,customer name 230,user230@gmail.com,08123456230,07/06/2026,active
231,Customer Name 231,user231@gmail.com,08123456231,08/06/2026,Active
232,Customer Name 232,user232@gmail.com,08123456232,03-06-26,Active
233,Customer Name 233,user233@gmail.com,08123456233,10/05/2026,banned
234,Customer Name 234,user234@gmail.com,08123456234,15-05-26,active
235,Customer Name 235,user235@gmail.com,08123456235,15-05-26,Active
236,Customer Name 236,user236@gmail.com,08123456236,12/05/2026,banned
237,Customer Name 237,user237@gmail.com,08123456237,13-05-26,Active
238,Customer Name 238,user238@gmail.com,08123456238,02-06-26,INACTIVE
239,Customer Name 239,user239@gmail.com,08123456239,2026-05-12,aktive
240,customer name 240,user240@gmail.com,08123456240,07-06-26,banned
241,Customer Name 241,user241@gmail.com,08123456241,27/05/2026,active 
242,Customer Name 242,user242@gmail.com,08123456242,28/05/2026,active 
243,Customer Name 243,user243@gmail.com,08123456243,25/05/2026,aktive
244,Customer Name 244,user244@gmail.com,08123456244,06-06-26,active
245,Customer Name 245,user245@gmail.com,08123456245,2026-05-13,active
246,Customer Name 246,user246@gmail.com,08123456246,2026-05-17,INACTIVE
247,Customer Name 247,user247@gmail.com,08123456247,24-05-26,active 
248,Customer Name 248,user248@gmail.com,08123456248,2026-05-28,active
249,Customer Name 249,user249@gmail.com,08123456249,16/05/2026,Active
250,customer name 250,user249@gmail.com,08123456250,06-06-26,Active
251,Customer Name 251,user251@gmail.com,08123456251,26-05-26,active
252,Customer Name 252,user252@gmail.com,08123456252,2026-06-06,Active
253,Customer Name 253,user253@gmail.com,08123456253,2026-05-31,banned
254,Customer Name 254,user254@gmail.com,08123456254,2026-06-04,INACTIVE
255,Customer Name 255,user255@gmail.com,08123456255,2026-05-20,Active
256,Customer Name 256,user256@gmail.com,08123456256,2026-05-20,active
257,Customer Name 257,user257@gmail.com,08123456257,31-05-26,INACTIVE
258,Customer Name 258,user258@gmail.com,08123456258,2026-06-01,INACTIVE
259,Customer Name 259,user259@gmail.com,08123456259,09/06/2026,aktive
260,customer name 260,user260@gmail.com,08123456260,01-06-26,INACTIVE
261,Customer Name 261,user261@gmail.com,08123456261,04/06/2026,active
262,Customer Name 262,user262@gmail.com,08123456262,31-05-26,aktive
263,Customer Name 263,user263@gmail.com,08123456263,2026-05-24,aktive
264,Customer Name 264,user264@gmail.com,08123456264,14/05/2026,Active
265,Customer Name 265,user265@gmail.com,08123456265,2026-05-24,active 
266,Customer Name 266,user266@gmail.com,08123456266,2026-05-23,active
267,Customer Name 267,user267@gmail.com,08123456267,2026-05-27,Active
268,Customer Name 268,user268@gmail.com,08123456268,27-05-26,INACTIVE
269,Customer Name 269,user269@gmail.com,08123456269,2026-05-22,aktive
270,customer name 270,user270@gmail.com,08123456270,06/06/2026,active 
271,Customer Name 271,user271@gmail.com,08123456271,2026-05-17,aktive
272,Customer Name 272,user272@gmail.com,08123456272,11/05/2026,active
273,Customer Name 273,user273@gmail.com,08123456273,2026-06-09,banned
274,Customer Name 274,user274@gmail.com,08123456274,2026-06-01,Active
275,Customer Name 275,user275@gmail.com,08123456275,21/05/2026,Active
276,Customer Name 276,user276@gmail.com,08123456276,2026-06-05,banned
277,Customer Name 277,user277@gmail.com,08123456277,30/05/2026,active 
278,Customer Name 278,user278@gmail.com,08123456278,11/05/2026,aktive
279,Customer Name 279,user279@gmail.com,08123456279,10-05-26,INACTIVE
280,customer name 280,user280@gmail.com,08123456280,23-05-26,INACTIVE
281,Customer Name 281,user281@gmail.com,08123456281,2026-05-25,active
282,Customer Name 282,user282@gmail.com,08123456282,30/05/2026,active
283,Customer Name 283,user283@gmail.com,08123456283,05/06/2026,aktive
284,Customer Name 284,user284@gmail.com,08123456284,27/05/2026,Active
285,Customer Name 285,user285@gmail.com,08123456285,20-05-26,INACTIVE
286,Customer Name 286,user286@gmail.com,08123456286,28/05/2026,active
287,Customer Name 287,user287@gmail.com,08123456287,28-05-26,banned
288,Customer Name 288,user288@gmail.com,08123456288,28-05-26,INACTIVE
289,Customer Name 289,user289@gmail.com,08123456289,2026-05-21,Active
290,customer name 290,user290@gmail.com,08123456290,05-06-26,active 
291,Customer Name 291,user291@gmail.com,08123456291,12/05/2026,INACTIVE
292,Customer Name 292,user292@gmail.com,08123456292,22-05-26,aktive
293,Customer Name 293,user293@gmail.com,08123456293,2026-05-23,active
294,Customer Name 294,user294@gmail.com,08123456294,2026-05-24,active 
295,Customer Name 295,user295@gmail.com,08123456295,15-05-26,active 
296,Customer Name 296,user296@gmail.com,08123456296,23/05/2026,Active
297,Customer Name 297,user297@gmail.com,08123456297,2026-05-16,banned
298,Customer Name 298,user298@gmail.com,08123456298,2026-05-31,active 
299,Customer Name 299,user299@gmail.com,08123456299,05-06-26,Active
300,customer name 300,user299@gmail.com,08123456300,10/05/2026,active 
301,Customer Name 301,user301@gmail.com,08123456301,2026-06-01,active 
302,Customer Name 302,user302@gmail.com,08123456302,2026-05-23,aktive
303,Customer Name 303,user303@gmail.com,08123456303,2026-06-01,active
304,Customer Name 304,user304@gmail.com,08123456304,09-06-26,Active
305,Customer Name 305,user305@gmail.com,08123456305,2026-05-26,INACTIVE
306,Customer Name 306,user306@gmail.com,08123456306,05/06/2026,banned
307,Customer Name 307,user307@gmail.com,08123456307,03/06/2026,Active
308,Customer Name 308,user308@gmail.com,08123456308,29/05/2026,Active
309,Customer Name 309,user309@gmail.com,08123456309,03/06/2026,INACTIVE
310,customer name 310,user310@gmail.com,08123456310,06-06-26,aktive
311,Customer Name 311,user311@gmail.com,08123456311,03/06/2026,active
312,Customer Name 312,user312@gmail.com,08123456312,2026-06-07,banned
313,Customer Name 313,user313@gmail.com,08123456313,18-05-26,aktive
314,Customer Name 314,user314@gmail.com,08123456314,27/05/2026,INACTIVE
315,Customer Name 315,user315@gmail.com,08123456315,2026-05-26,banned
316,Customer Name 316,user316@gmail.com,08123456316,29-05-26,active 
317,Customer Name 317,user317@gmail.com,08123456317,28-05-26,active
318,Customer Name 318,user318@gmail.com,08123456318,20-05-26,aktive
319,Customer Name 319,user319@gmail.com,08123456319,20-05-26,aktive
320,customer name 320,user320@gmail.com,08123456320,2026-05-27,banned
321,Customer Name 321,user321@gmail.com,08123456321,16-05-26,INACTIVE
322,Customer Name 322,user322@gmail.com,08123456322,22/05/2026,banned
323,Customer Name 323,user323@gmail.com,08123456323,2026-06-01,INACTIVE
324,Customer Name 324,user324@gmail.com,08123456324,18/05/2026,banned
325,Customer Name 325,user325@gmail.com,08123456325,2026-06-04,Active
326,Customer Name 326,user326@gmail.com,08123456326,28/05/2026,aktive
327,Customer Name 327,user327@gmail.com,08123456327,29-05-26,active 
328,Customer Name 328,user328@gmail.com,08123456328,21/05/2026,aktive
329,Customer Name 329,user329@gmail.com,08123456329,2026-05-28,INACTIVE
330,customer name 330,user330@gmail.com,08123456330,11-05-26,Active
331,Customer Name 331,user331@gmail.com,08123456331,30/05/2026,Active
332,Customer Name 332,user332@gmail.com,08123456332,2026-06-02,Active
333,Customer Name 333,user333@gmail.com,08123456333,23/05/2026,banned
334,Customer Name 334,user334@gmail.com,08123456334,2026-06-08,active
335,Customer Name 335,user335@gmail.com,08123456335,30/05/2026,aktive
336,Customer Name 336,user336@gmail.com,08123456336,09-06-26,active 
337,Customer Name 337,user337@gmail.com,08123456337,14-05-26,active 
338,Customer Name 338,user338@gmail.com,08123456338,28/05/2026,INACTIVE
339,Customer Name 339,user339@gmail.com,08123456339,15-05-26,active 
340,customer name 340,user340@gmail.com,08123456340,2026-05-30,active
341,Customer Name 341,user341@gmail.com,08123456341,08/06/2026,aktive
342,Customer Name 342,user342@gmail.com,08123456342,15-05-26,Active
343,Customer Name 343,user343@gmail.com,08123456343,2026-05-29,active 
344,Customer Name 344,user344@gmail.com,08123456344,03/06/2026,active 
345,Customer Name 345,user345@gmail.com,08123456345,22-05-26,active
346,Customer Name 346,user346@gmail.com,08123456346,2026-05-17,Active
347,Customer Name 347,user347@gmail.com,08123456347,21-05-26,Active
348,Customer Name 348,user348@gmail.com,08123456348,2026-05-18,active
349,Customer Name 349,user349@gmail.com,08123456349,2026-05-31,aktive
350,customer name 350,user349@gmail.com,08123456350,15/05/2026,INACTIVE
351,Customer Name 351,user351@gmail.com,08123456351,23-05-26,active 
352,Customer Name 352,user352@gmail.com,08123456352,29/05/2026,Active
353,Customer Name 353,user353@gmail.com,08123456353,2026-05-22,aktive
354,Customer Name 354,user354@gmail.com,08123456354,29/05/2026,active
355,Customer Name 355,user355@gmail.com,08123456355,21/05/2026,aktive
356,Customer Name 356,user356@gmail.com,08123456356,29/05/2026,aktive
357,Customer Name 357,user357@gmail.com,08123456357,2026-06-03,aktive
358,Customer Name 358,user358@gmail.com,08123456358,25/05/2026,Active
359,Customer Name 359,user359@gmail.com,08123456359,2026-05-29,INACTIVE
360,customer name 360,user360@gmail.com,08123456360,2026-06-08,banned
361,Customer Name 361,user361@gmail.com,08123456361,2026-06-07,active
362,Customer Name 362,user362@gmail.com,08123456362,12/05/2026,INACTIVE
363,Customer Name 363,user363@gmail.com,08123456363,15-05-26,Active
364,Customer Name 364,user364@gmail.com,08123456364,31/05/2026,active 
365,Customer Name 365,user365@gmail.com,08123456365,02/06/2026,Active
366,Customer Name 366,user366@gmail.com,08123456366,27-05-26,INACTIVE
367,Customer Name 367,user367@gmail.com,08123456367,2026-06-04,INACTIVE
368,Customer Name 368,user368@gmail.com,08123456368,14/05/2026,active
369,Customer Name 369,user369@gmail.com,08123456369,08/06/2026,aktive
370,customer name 370,user370@gmail.com,08123456370,23-05-26,banned
371,Customer Name 371,user371@gmail.com,08123456371,24-05-26,INACTIVE
372,Customer Name 372,user372@gmail.com,08123456372,2026-05-12,INACTIVE
373,Customer Name 373,user373@gmail.com,08123456373,2026-05-19,Active
374,Customer Name 374,user374@gmail.com,08123456374,2026-06-05,active
375,Customer Name 375,user375@gmail.com,08123456375,15-05-26,active
376,Customer Name 376,user376@gmail.com,08123456376,2026-05-18,Active
377,Customer Name 377,user377@gmail.com,08123456377,21/05/2026,Active
378,Customer Name 378,user378@gmail.com,08123456378,2026-05-14,INACTIVE
379,Customer Name 379,user379@gmail.com,08123456379,2026-06-01,aktive
380,customer name 380,user380@gmail.com,08123456380,2026-05-28,aktive
381,Customer Name 381,user381@gmail.com,08123456381,25/05/2026,banned
382,Customer Name 382,user382@gmail.com,08123456382,24/05/2026,aktive
383,Customer Name 383,user383@gmail.com,08123456383,26-05-26,Active
384,Customer Name 384,user384@gmail.com,08123456384,16/05/2026,active 
385,Customer Name 385,user385@gmail.com,08123456385,02-06-26,Active
386,Customer Name 386,user386@gmail.com,08123456386,31-05-26,Active
387,Customer Name 387,user387@gmail.com,08123456387,11-05-26,INACTIVE
388,Customer Name 388,user388@gmail.com,08123456388,04-06-26,aktive
389,Customer Name 389,user389@gmail.com,08123456389,19-05-26,banned
390,customer name 390,user390@gmail.com,08123456390,11/05/2026,Active
391,Customer Name 391,user391@gmail.com,08123456391,04-06-26,Active
392,Customer Name 392,user392@gmail.com,08123456392,13-05-26,Active
393,Customer Name 393,user393@gmail.com,08123456393,05/06/2026,active
394,Customer Name 394,user394@gmail.com,08123456394,2026-05-11,banned
395,Customer Name 395,user395@gmail.com,08123456395,16-05-26,INACTIVE
396,Customer Name 396,user396@gmail.com,08123456396,15-05-26,Active
397,Customer Name 397,user397@gmail.com,08123456397,2026-05-19,INACTIVE
398,Customer Name 398,user398@gmail.com,08123456398,2026-05-17,active
399,Customer Name 399,user399@gmail.com,08123456399,2026-05-28,INACTIVE
400,customer name 400,user399@gmail.com,08123456400,23-05-26,active
401,Customer Name 401,user401@gmail.com,08123456401,20/05/2026,active
402,Customer Name 402,user402@gmail.com,08123456402,23/05/2026,active 
403,Customer Name 403,user403@gmail.com,08123456403,2026-06-05,banned
404,Customer Name 404,user404@gmail.com,08123456404,22/05/2026,INACTIVE
405,Customer Name 405,user405@gmail.com,08123456405,11/05/2026,INACTIVE
406,Customer Name 406,user406@gmail.com,08123456406,2026-05-18,aktive
407,Customer Name 407,user407@gmail.com,08123456407,26-05-26,active
408,Customer Name 408,user408@gmail.com,08123456408,2026-06-04,Active
